review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_cleanlinessnan,review_scores_checkinnan,review_scores_communicationnan,review_scores_locationnan,review_scores_ratingnan
4.91,4.94,4.97,4.66,4.9,0,0,0,0,0
4.74,4.84,4.87,4.85,4.73,0,0,0,0,0
4.86,4.9,5.0,4.75,4.68,0,0,0,0,0
4.93,4.77,4.91,4.8,4.79,0,0,0,0,0
4.57,4.71,4.43,5.0,4.71,0,0,0,0,0
4.86,4.89,4.93,4.64,4.86,0,0,0,0,0
4.91,4.96,4.96,4.94,4.81,0,0,0,0,0
4.4,4.8,4.71,4.77,4.46,0,0,0,0,0
4.91,4.93,4.95,4.3,4.82,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.07,4.59,4.45,4.77,4.3,0,0,0,0,0
4.45,4.88,4.89,4.86,4.58,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.0,4.57,4.71,4.29,4.29,0,0,0,0,0
4.62,4.78,4.84,4.17,4.61,0,0,0,0,0
4.67,5.0,5.0,5.0,4.33,0,0,0,0,0
4.93,4.91,4.95,4.93,4.85,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,0.0,1,1,1,1,0
4.93,4.99,4.98,4.78,4.92,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.75,4.93,4.95,4.92,4.9,0,0,0,0,0
4.93,4.99,4.98,4.79,4.96,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.71,4.83,4.86,4.65,4.65,0,0,0,0,0
4.91,4.89,4.93,4.91,4.93,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.71,4.47,4.76,4.88,4.59,0,0,0,0,0
4.89,4.93,4.95,4.97,4.9,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.82,4.45,4.82,4.45,4.64,0,0,0,0,0
4.96,4.91,4.93,4.68,4.9,0,0,0,0,0
4.44,4.79,4.88,4.7,4.69,0,0,0,0,0
4.0,5.0,5.0,5.0,4.0,0,0,0,0,0
4.2,4.6,4.8,4.6,4.5,0,0,0,0,0
4.0,3.83,4.5,4.17,4.17,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,0.0,1,1,1,1,0
4.95,5.0,5.0,4.92,4.92,0,0,0,0,0
4.41,4.79,4.79,4.49,4.61,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.88,4.78,4.92,4.95,4.85,0,0,0,0,0
4.85,4.96,4.99,4.83,4.87,0,0,0,0,0
4.63,4.8,4.73,4.88,4.61,0,0,0,0,0
4.44,4.84,4.83,4.91,4.58,0,0,0,0,0
5.0,5.0,5.0,4.93,4.97,0,0,0,0,0
4.67,4.67,5.0,4.33,4.33,0,0,0,0,0
4.81,4.81,4.88,5.0,4.88,0,0,0,0,0
4.67,5.0,5.0,5.0,5.0,0,0,0,0,0
4.4,4.6,4.8,5.0,4.6,0,0,0,0,0
4.71,4.85,4.9,4.63,4.56,0,0,0,0,0
4.5,5.0,5.0,4.0,4.5,0,0,0,0,0
4.92,4.99,4.99,4.86,4.94,0,0,0,0,0
4.85,4.96,4.98,4.85,4.85,0,0,0,0,0
4.93,4.95,4.95,4.81,4.91,0,0,0,0,0
3.33,4.8,4.8,4.2,3.33,0,0,0,0,0
4.46,4.67,4.65,4.47,4.34,0,0,0,0,0
4.9,4.8,4.8,4.8,5.0,0,0,0,0,0
4.83,5.0,5.0,5.0,5.0,0,0,0,0,0
4.76,4.9,4.94,4.5,4.56,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.83,4.83,4.83,4.67,4.83,0,0,0,0,0
4.69,4.9,4.91,4.57,4.8,0,0,0,0,0
4.7,4.83,4.93,4.48,4.54,0,0,0,0,0
4.96,4.96,4.78,4.67,4.81,0,0,0,0,0
4.82,4.88,4.65,4.88,4.76,0,0,0,0,0
4.81,4.91,4.98,4.75,4.87,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.64,4.62,4.93,4.64,4.53,0,0,0,0,0
4.7,5.0,4.9,4.8,4.65,0,0,0,0,0
4.8,4.9,4.96,4.73,4.78,0,0,0,0,0
4.79,4.85,4.83,4.75,4.65,0,0,0,0,0
4.93,5.0,5.0,4.73,4.93,0,0,0,0,0
4.87,4.93,4.93,4.87,4.87,0,0,0,0,0
4.66,4.84,4.91,4.98,4.82,0,0,0,0,0
4.78,4.81,4.74,4.51,4.64,0,0,0,0,0
4.5,4.9,4.95,4.9,4.9,0,0,0,0,0
5.0,5.0,5.0,4.38,5.0,0,0,0,0,0
4.66,4.93,4.93,4.9,4.7,0,0,0,0,0
4.7,4.88,4.95,4.8,4.8,0,0,0,0,0
4.96,4.95,4.98,4.61,4.9,0,0,0,0,0
4.83,4.98,4.98,4.96,4.75,0,0,0,0,0
4.17,4.5,4.83,4.33,4.5,0,0,0,0,0
4.48,4.8,4.85,4.63,4.4,0,0,0,0,0
4.67,4.67,4.78,4.47,4.59,0,0,0,0,0
4.48,4.87,4.94,4.65,4.58,0,0,0,0,0
2.75,4.5,4.5,3.75,3.75,0,0,0,0,0
4.99,4.99,4.99,4.99,4.92,0,0,0,0,0
4.0,4.5,4.5,4.0,4.5,0,0,0,0,0
3.33,5.0,5.0,5.0,4.33,0,0,0,0,0
4.68,4.95,4.86,4.73,4.77,0,0,0,0,0
4.71,4.88,4.88,4.34,4.84,0,0,0,0,0
4.91,4.9,4.95,4.85,4.84,0,0,0,0,0
4.61,4.9,4.89,4.95,4.67,0,0,0,0,0
5.0,5.0,5.0,4.57,4.91,0,0,0,0,0
4.5,4.85,4.87,4.82,4.55,0,0,0,0,0
4.0,4.85,4.77,4.69,4.85,0,0,0,0,0
4.7,4.86,4.98,4.88,4.77,0,0,0,0,0
4.85,4.88,4.92,4.84,4.75,0,0,0,0,0
4.27,4.91,4.91,4.82,4.73,0,0,0,0,0
4.88,4.96,4.96,4.68,4.92,0,0,0,0,0
4.88,4.88,5.0,4.73,4.92,0,0,0,0,0
4.52,4.87,4.92,4.98,4.72,0,0,0,0,0
4.15,4.83,5.0,4.42,4.38,0,0,0,0,0
4.59,4.82,4.77,4.72,4.68,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.0,4.5,5.0,5.0,4.0,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.82,4.96,4.96,4.61,4.75,0,0,0,0,0
4.98,4.95,4.96,4.66,4.92,0,0,0,0,0
4.75,5.0,4.95,4.4,4.8,0,0,0,0,0
4.97,4.94,4.96,4.68,4.94,0,0,0,0,0
4.66,4.95,4.95,4.87,4.76,0,0,0,0,0
4.46,4.86,4.83,4.9,4.51,0,0,0,0,0
4.93,4.96,5.0,4.93,4.85,0,0,0,0,0
4.71,4.94,4.91,4.84,4.85,0,0,0,0,0
3.67,4.33,4.67,4.0,4.25,0,0,0,0,0
4.06,4.82,4.92,4.86,4.51,0,0,0,0,0
4.56,4.87,4.93,4.13,4.59,0,0,0,0,0
4.77,4.86,4.97,4.77,4.83,0,0,0,0,0
4.9,4.98,4.97,4.9,4.9,0,0,0,0,0
4.9,4.89,4.95,4.56,4.86,0,0,0,0,0
5.0,5.0,5.0,4.8,4.8,0,0,0,0,0
4.33,3.33,4.67,4.33,4.67,0,0,0,0,0
4.6,4.6,4.8,5.0,4.6,0,0,0,0,0
4.81,4.9,4.9,4.43,4.72,0,0,0,0,0
4.75,5.0,5.0,4.88,5.0,0,0,0,0,0
3.33,4.5,4.83,5.0,4.17,0,0,0,0,0
4.65,4.7,4.55,4.2,4.45,0,0,0,0,0
4.29,4.71,4.57,4.71,4.57,0,0,0,0,0
4.84,4.91,4.88,4.89,4.87,0,0,0,0,0
4.95,4.95,5.0,4.65,4.85,0,0,0,0,0
