last_scraped,description,neighborhood_overview,host_id,host_name,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms,bedroomsnan,bedsnan,review_scores_ratingnan
1.0,1.0,0.0,0.0003633848480854,1.0,0.6666666666666666,0.0,0.25,0.4,0.5,0.5,1.0,0.001564945226917,0.0909090909090909,1.0,0.5,0.2,0.6666666666666666,0.20509416334761,0.5296641277415794,0.5,0.3333333333333333,0.125,0.0,0.0,0.08,0.935108153078203,0.0017793594306049,0.0017793594306049,0.1124224844968993,1.0,0.0,0.1166666666666666,0.4111111111111111,0.5945205479452055,1.0,0.3752066115702479,0.0,0.0,0.954,0.964,0.964,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0010293485868956,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.0005216484089723,0.5,1.0,1.0,1.0,0.0,0.2224762747701163,0.3906809213544999,0.1,0.3333333333333333,0.125,0.6666666666666666,0.0,0.04,0.0033277870216306,0.0,0.0,0.0004000800160032,1.0,0.0,0.0,0.1,0.7780821917808219,1.0,0.0016528925619834,0.0,0.0,0.0,0.98,0.944,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0003633848480854,1.0,0.6666666666666666,0.0,0.25,0.4,0.5,0.5,1.0,0.001564945226917,0.0909090909090909,1.0,0.5,0.2,0.6666666666666666,0.2058563209913018,0.5335183995595116,0.5,0.3333333333333333,0.125,0.0,0.0,0.04,0.0108153078202995,0.0017793594306049,0.0017793594306049,0.0013002600520104,1.0,0.0,0.1166666666666666,0.4111111111111111,0.8547945205479452,1.0,0.3008264462809917,0.0,0.0,0.958,0.97,0.96,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0017621120688859,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5909090909090909,1.0,0.5,0.6000000000000001,1.0,0.4472390224713649,0.5811691291181038,0.1,0.3333333333333333,0.0625,0.1111111111111111,0.1666666666666666,0.24,0.0224625623960066,0.0008896797153024,0.0008896797153024,0.0027005401080216,1.0,0.3,0.65,0.7666666666666667,0.9424657534246575,1.0,0.5140495867768595,0.0,0.0,0.95,0.954,0.948,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0017891060514005,1.0,0.5,0.0,0.5,0.4,0.5,0.5,1.0,0.0010432968179447,0.4090909090909091,1.0,0.5,0.6000000000000001,0.6666666666666666,0.1841471210109659,0.6811737175369359,0.0,0.3333333333333333,0.375,0.0,0.0833333333333333,0.16,0.0091514143094841,0.0,0.0,0.0011002200440088,1.0,0.0,0.0,0.1888888888888888,0.7835616438356164,1.0,0.4694214876033057,0.0,0.0,0.966,0.974,0.97,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0018206112234049,1.0,0.6666666666666666,0.0,0.0,0.4,0.5,1.0,0.0952380952380952,0.0026082420448617,0.6363636363636364,1.0,0.5,0.6000000000000001,1.0,0.3173526085460025,0.3789116270533181,0.7000000000000001,1.0,0.3125,1.0,0.0,0.12,0.302828618968386,0.0026690391459074,0.0035587188612099,0.0364072814562912,1.0,0.5333333333333333,0.5333333333333333,0.5777777777777778,0.8246575342465754,1.0,0.0743801652892562,0.0,0.0,0.906,0.968,0.884,0.0,0.119047619047619,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0018206112234049,1.0,0.6666666666666666,0.0,0.0,0.4,0.5,1.0,0.0952380952380952,0.0026082420448617,0.6363636363636364,1.0,0.5,0.6000000000000001,1.0,0.3173526085460025,0.3789116270533181,0.7000000000000001,1.0,0.3125,1.0,0.0,0.12,0.0740432612312812,0.0026690391459074,0.0026690391459074,0.0089017803560712,1.0,0.1666666666666666,0.1166666666666666,0.3333333333333333,0.7917808219178082,1.0,0.0892561983471074,0.0,0.0,0.94,0.958,0.9220000000000002,0.0,0.119047619047619,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0019808462356014,1.0,0.8333333333333333,0.0,0.0,0.4,0.5,0.5,0.9047619047619048,0.0010432968179447,0.0909090909090909,1.0,0.5,0.6000000000000001,1.0,0.3059694153513419,0.5076856015417075,0.1,0.3333333333333333,0.125,0.0,0.0,0.0,0.0024958402662229,0.0008896797153024,0.0008896797153024,0.0003000600120024,1.0,0.9333333333333332,0.9666666666666668,0.977777777777778,0.2410958904109589,1.0,0.515702479338843,0.0,0.0,0.976,0.988,0.968,0.0,0.0238095238095238,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0029291372820483,1.0,0.5,0.0,0.0,0.4,0.5,1.0,0.1904761904761904,0.0010432968179447,0.0909090909090909,1.0,0.5,0.6000000000000001,1.0,0.4602940453360986,0.7193493622097833,0.7000000000000001,1.0,0.125,0.4444444444444444,0.0,0.08,0.0049916805324459,0.0,0.0,0.0006001200240048,1.0,0.3,0.5166666666666666,0.6777777777777778,0.6602739726027397,1.0,0.4859504132231405,0.0,0.0,0.916,0.9460000000000002,0.9300000000000002,0.0,0.0714285714285714,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0030377033244615,1.0,0.6666666666666666,0.0,0.0,0.4,0.625,0.5,0.1904761904761904,0.0010432968179447,0.1818181818181818,1.0,1.0,1.0,0.0,0.335226434577379,0.1669496191612367,0.1,0.3333333333333333,0.125,0.0,0.0,0.04,0.302828618968386,0.0258007117437722,0.0258007117437722,0.0364072814562912,1.0,0.9333333333333332,0.8166666666666667,0.8777777777777778,0.96986301369863,1.0,0.0264462809917355,0.0,0.0,0.9380000000000002,1.0,0.962,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0030377033244615,1.0,0.6666666666666666,0.0,0.0,0.4,0.625,0.5,0.1904761904761904,0.0010432968179447,0.1818181818181818,1.0,1.0,0.2,0.0,0.3392830801003015,0.1639212627328614,0.1,0.3333333333333333,0.0625,0.0,0.0,0.04,0.14891846921797,0.0,0.0,0.0179035807161432,1.0,0.1,0.05,0.1,0.6082191780821918,1.0,0.0661157024793388,0.0121951219512195,0.0,0.984,0.99,0.968,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0032342521928105,1.0,0.6666666666666666,0.0,1.0,1.0,0.25,1.0,0.1904761904761904,0.0005216484089723,0.5,1.0,0.5,1.0,0.6666666666666666,0.1876137090033012,0.8360787372671368,0.4,0.3333333333333333,0.125,1.0,0.0,0.04,0.302828618968386,0.0,0.0,0.0364072814562912,1.0,0.0,0.0,0.0,0.4328767123287671,1.0,0.3504132231404958,0.0,0.0,0.876,0.912,0.924,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0033024101697992,1.0,0.6666666666666666,0.0,0.5,0.4,1.0,0.5,1.0,0.0005216484089723,0.5454545454545454,1.0,0.5,0.6000000000000001,1.0,0.4488125092196355,0.4467513994677432,0.1,0.3333333333333333,0.0625,1.0,0.0,0.04,0.016638935108153,0.0008896797153024,0.0008896797153024,0.1124224844968993,1.0,0.0,0.0,0.0,0.6,1.0,0.1024793388429752,0.0,0.0,0.966,0.966,0.962,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0032342521928105,1.0,0.6666666666666666,0.0,1.0,1.0,0.25,1.0,0.1904761904761904,0.0005216484089723,0.5,1.0,0.5,1.0,0.6666666666666666,0.188474209568767,0.8377076259520972,0.4,0.3333333333333333,0.125,0.3333333333333333,0.0,0.0,0.302828618968386,0.0,0.0,0.0364072814562912,1.0,0.0,0.0,0.0,0.5150684931506849,1.0,0.2231404958677686,0.0,0.0,0.878,0.918,0.932,0.0,0.0,0.0,0.0,0.0,0.0
